
target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.2 - Freight rail transport;The target involves achieving climate neutrality, which impacts energy supply, manufacturing, and transportation sectors.;8
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;H49.4 - Freight transport by road and removal services;D35.1 - Electric power generation, transmission and distribution;The target focuses on emission reductions in buildings and road transport, involving construction, transportation, and energy sectors.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.2 - Freight rail transport;F41.2 - Construction of residential and non-residential buildings;A1.1 - Growing of non-perennial crops;The target involves multiple sectors including transport, construction, agriculture, and waste management.;7
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F - Construction;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;F43 - Specialised construction activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;F43.3 - Building completion and finishing;The target is focused on land use and forestry, impacting agriculture, waste management, and construction sectors.;8
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F - Construction;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;F43 - Specialised construction activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;F43.3 - Building completion and finishing;The target involves managing emissions and removals in land use, impacting agriculture, waste management, and construction.;8
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F - Construction;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;F43 - Specialised construction activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;F43.3 - Building completion and finishing;The target focuses on emissions and removals in land use, affecting agriculture, waste management, and construction.;8
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;H49 - Land transport and transport via pipelines;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;H49.4 - Freight transport by road and removal services;The target is directly related to reducing emissions in the construction sector, with implications for energy and transport.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;C19.2 - Manufacture of refined petroleum products;B6.2 - Extraction of natural gas;The target involves reducing methane emissions in energy production, affecting energy, manufacturing, and mining sectors.;9
TA1.2;2040 target under discussion;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.2 - Freight rail transport;The target is under discussion but likely involves energy, manufacturing, and transportation sectors.;7
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.2 - Freight rail transport;The target involves a significant reduction in GHG emissions, impacting energy, manufacturing, and transportation sectors.;8
